id_axe,nom_axe,commune,destination,lat_dep,lon_dep,vitesse_kmh,vitesse_libre_ref,indice_cong,niveau_cong,distance_m,duree_sec,date,heure,jour,timestamp,type,sens,commune_dep
AX_01,Pont HKB (Henri Konan Bedie),Cocody/Marcory,Plateau,5.329775,-3.981814,28.4,80,0.355,Congestionne,10854,1140,2026-05-06,22,mercredi,2026-05-06T22:54:16Z,principal,NA,Cocody
AX_02,Pont De Gaulle,Plateau/Treichville,Plateau,5.317516,-4.016406,20,60,0.333,Congestionne,1224,176,2026-05-06,22,mercredi,2026-05-06T22:54:17Z,principal,NA,Plateau
AX_03,Pont Felix Houphouet-Boigny,Plateau/Treichville,Plateau,5.328028,-4.017425,25.8,60,0.43,Congestionne,2414,269,2026-05-06,22,mercredi,2026-05-06T22:54:18Z,principal,NA,Plateau
AX_04,Boulevard VGE (Giscard d Estaing),Plateau/Port-Bouet,Plateau,5.284092,-3.960922,29.6,100,0.296,Bloque,9720,944,2026-05-06,22,mercredi,2026-05-06T22:54:20Z,principal,NA,Plateau
AX_05,5eme Pont acces Saint-Jean,Cocody/Plateau,Plateau,5.335149,-3.996117,30.6,80,0.382,Congestionne,7035,685,2026-05-06,22,mercredi,2026-05-06T22:54:21Z,principal,NA,Cocody
AX_06,Marche Bellville (Bvd Marseille),Treichville,Plateau,5.30587,-3.998069,25.8,50,0.516,Modere,6069,653,2026-05-06,22,mercredi,2026-05-06T22:54:22Z,principal,NA,Treichville
AX_07,Rond-point Treichville,Treichville,Plateau,5.307293,-4.011812,12.6,40,0.315,Congestionne,2586,570,2026-05-06,22,mercredi,2026-05-06T22:54:23Z,principal,NA,Treichville
AX_08,Gare Lagunaire Bvd Lagunaire,Plateau/Treichville,Plateau,5.312868,-4.010077,24.2,60,0.403,Congestionne,3992,475,2026-05-06,22,mercredi,2026-05-06T22:54:24Z,principal,NA,Plateau
AX_09,Carrefour de l Indenie (Adjame),Adjame,Plateau,5.341379,-4.020257,30.4,50,0.608,Modere,4314,408,2026-05-06,22,mercredi,2026-05-06T22:54:26Z,principal,NA,Adjamé
AX_10,Adjame Mosquee (Bvd Nangui Abrogoua),Adjame,Plateau,5.354097,-4.026506,36,55,0.655,Modere,5369,429,2026-05-06,22,mercredi,2026-05-06T22:54:27Z,principal,NA,Adjamé
